NATIONAL HEALTH EXPENDITURES BY TYPE OF SERVICE AND SOURCE OF FUNDS:  CALENDAR YEARS 1960 to 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   , 5 , 9 , 18 , 32 , 35 , 27 , 26 , 36 , 51 , 65 , 68 , 66 , 67 , 86 , 90 , 118 , 160 , 181 , 185 , 217 , 256 , 303 , 360 , 484 , 583 , 721 , 889 ," 1,062 "," 1,276 "," 1,526 "," 1,655 "," 1,615 "," 1,560 "," 1,616 "," 1,835 "," 2,467 "," 2,709 "," 2,768 "," 2,896 "," 3,296 "," 3,748 "," 3,987 "," 4,188 "," 4,572 "," 4,917 "," 5,098 "," 5,328 "," 5,686 "," 6,530 "," 7,293 "," 7,621 "," 7,825 "," 8,046 "," 8,465 "
                          Federal  , -   , -   , -   , -   , -   , -   , 3 , 6 , 11 , 18 , 20 , 15 , 15 , 21 , 28 , 36 , 35 , 36 , 37 , 47 , 51 , 67 , 90 , 102 , 104 , 123 , 146 , 173 , 202 , 277 , 333 , 428 , 534 , 635 , 762 , 898 , 978 , 949 , 910 , 956 ," 1,080 "," 1,454 "," 1,596 "," 1,734 "," 1,763 "," 1,947 "," 2,187 "," 2,337 "," 2,529 "," 3,106 "," 3,463 "," 3,248 "," 3,212 "," 3,435 "," 4,221 "," 4,843 "," 5,096 "," 5,178 "," 5,334 "," 5,702 "
                          State and Local, -   , -   , -   , -   , -   , -   , 2 , 3 , 7 , 14 , 14 , 12 , 11 , 15 , 22 , 28 , 33 , 30 , 29 , 39 , 40 , 52 , 71 , 79 , 81 , 95 , 110 , 130 , 158 , 207 , 250 , 294 , 355 , 427 , 514 , 629 , 677 , 666 , 650 , 660 , 754 ," 1,013 "," 1,113 "," 1,034 "," 1,133 "," 1,349 "," 1,561 "," 1,650 "," 1,659 "," 1,466 "," 1,454 "," 1,850 "," 2,116 "," 2,251 "," 2,309 "," 2,451 "," 2,524 "," 2,647 "," 2,712 "," 2,762 "
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , 30 , 43 , 44 , 73 , 64 , 58 , 65 , 62 , 79 , 85 , 76 , 88 , 104 , 119 , 133 , 124 , 135 , 172 , 185 , 189 , 204 
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , 21 , 29 , 32 , 51 , 46 , 42 , 48 , 45 , 57 , 63 , 56 , 64 , 76 , 87 , 96 , 90 , 105 , 158 , 170 , 176 , 185 
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 10 , 13 , 12 , 21 , 18 , 15 , 18 , 17 , 22 , 22 , 20 , 24 , 28 , 33 , 37 , 34 , 30 , 15 , 15 , 13 , 18 
         Department of Defense, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Department of Veterans Affairs, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
     Other Third Party Payers and Programs, 16 , 18 , 19 , 20 , 22 , 24 , 29 , 33 , 40 , 47 , 52 , 58 , 62 , 67 , 77 , 85 , 89 , 97 , 105 , 117 , 121 , 121 , 126 , 144 , 167 , 197 , 229 , 267 , 312 , 357 , 409 , 397 , 402 , 403 , 409 , 401 , 421 , 458 , 510 , 563 , 607 , 612 , 634 , 638 , 652 , 658 , 647 , 696 , 939 , 940 , 970 ," 1,005 ", 983 ," 1,024 "," 1,054 "," 1,070 "," 1,105 "," 1,107 "," 1,143 "," 1,173 "
         Worksite Health Care, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Private Revenues, 1 , 1 , 1 , 1 , 2 , 2 , 2 , 2 , 2 , 3 , 4 , 4 , 5 , 6 , 7 , 8 , 9 , 11 , 12 , 15 , 15 , 16 , 15 , 17 , 19 , 21 , 24 , 27 , 33 , 36 , 41 , 38 , 37 , 39 , 45 , 47 , 53 , 61 , 75 , 86 , 98 , 97 , 106 , 111 , 112 , 122 , 125 , 134 , 128 , 137 , 140 , 146 , 141 , 153 , 163 , 180 , 193 , 203 , 217 , 228 
         Indian Health Services , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 1 , 1 , 1 , 1 , 2 , 2 , 2 , 2 , 3 , 3 , 3 , 3 , 3 , 4 , 4 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 6 , 6 , 6 , 6 , 7 , 7 , 9 , 10 , 10 , 10 , 10 , 10 , 10 , 10 , 10 , 11 
         Workers' Compensation, 9 , 9 , 10 , 11 , 11 , 12 , 14 , 15 , 17 , 19 , 21 , 23 , 25 , 30 , 34 , 39 , 42 , 45 , 48 , 55 , 56 , 58 , 62 , 72 , 87 , 105 , 127 , 155 , 189 , 216 , 254 , 243 , 251 , 252 , 242 , 234 , 247 , 269 , 303 , 335 , 359 , 365 , 368 , 363 , 365 , 360 , 342 , 362 , 611 , 597 , 617 , 649 , 623 , 652 , 698 , 704 , 727 , 718 , 730 , 744 
         General Assistance, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 3 , 6 , 8 , 5 , 5 , 17 , 21 , 22 , 13 , 10 , 12 , 9 , 8 , 6 , 6 , 12 , 14 , 13 , 18 , 21 , 32 , 31 , 31 , 40 , 36 , 42 , 41 , 27 , 23 , 24 , 23 , 22 , 20 , 20 , 23 , 25 
         Maternal/Child Health, 2 , 3 , 3 , 4 , 4 , 4 , 5 , 7 , 10 , 12 , 11 , 12 , 14 , 13 , 15 , 16 , 17 , 18 , 20 , 21 , 22 , 22 , 21 , 23 , 24 , 29 , 32 , 37 , 40 , 40 , 42 , 41 , 43 , 44 , 47 , 46 , 49 , 54 , 56 , 60 , 64 , 61 , 63 , 63 , 62 , 62 , 61 , 68 , 72 , 66 , 66 , 64 , 60 , 62 , 64 , 62 , 61 , 61 , 65 , 67 
                          Federal  , 1 , 1 , 1 , 1 , 1 , 2 , 3 , 4 , 6 , 7 , 6 , 7 , 9 , 8 , 9 , 10 , 11 , 12 , 12 , 13 , 13 , 12 , 11 , 12 , 11 , 14 , 14 , 16 , 17 , 17 , 18 , 17 , 17 , 17 , 17 , 16 , 17 , 17 , 18 , 19 , 20 , 18 , 19 , 18 , 18 , 18 , 17 , 17 , 17 , 16 , 16 , 16 , 16 , 15 , 16 , 15 , 15 , 15 , 15 , 16 
                          State and Local, 2 , 2 , 2 , 2 , 2 , 2 , 3 , 3 , 4 , 5 , 5 , 5 , 5 , 5 , 6 , 6 , 6 , 7 , 7 , 9 , 10 , 10 , 10 , 11 , 13 , 15 , 19 , 21 , 23 , 23 , 25 , 25 , 26 , 27 , 29 , 29 , 32 , 36 , 38 , 41 , 45 , 43 , 44 , 45 , 44 , 44 , 44 , 51 , 55 , 50 , 50 , 48 , 44 , 46 , 49 , 47 , 46 , 46 , 50 , 51 
         Vocational Rehabilitation, 4 , 4 , 4 , 4 , 4 , 5 , 6 , 8 , 9 , 12 , 15 , 17 , 17 , 17 , 20 , 21 , 19 , 21 , 23 , 24 , 24 , 24 , 25 , 28 , 30 , 32 , 34 , 38 , 40 , 42 , 45 , 48 , 51 , 51 , 57 , 59 , 58 , 61 , 62 , 63 , 65 , 70 , 71 , 72 , 73 , 75 , 80 , 83 , 83 , 87 , 94 , 93 , 89 , 88 , 88 , 90 , 91 , 92 , 94 , 96 
                          Federal  , 2 , 2 , 2 , 3 , 3 , 3 , 5 , 6 , 7 , 9 , 12 , 13 , 13 , 13 , 15 , 16 , 15 , 16 , 17 , 18 , 19 , 18 , 18 , 21 , 23 , 24 , 26 , 29 , 31 , 32 , 34 , 37 , 39 , 38 , 43 , 44 , 43 , 46 , 47 , 48 , 49 , 53 , 54 , 56 , 57 , 58 , 60 , 62 , 63 , 67 , 73 , 73 , 69 , 68 , 68 , 69 , 70 , 71 , 72 , 74 
                          State and Local, 1 , 1 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 3 , 3 , 4 , 4 , 4 , 4 , 5 , 5 , 5 , 5 , 6 , 6 , 6 , 7 , 7 , 7 , 8 , 8 , 9 , 9 , 10 , 10 , 11 , 12 , 13 , 14 , 15 , 15 , 15 , 15 , 15 , 16 , 17 , 17 , 17 , 17 , 17 , 20 , 21 , 19 , 20 , 20 , 20 , 20 , 20 , 20 , 21 , 21 , 21 , 22 , 22 
         Other Federal Programs*, -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 14 , 34 , 33 , 4 , -   , -   , -   , -   , -   
         SAMHSA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other State and Local Programs**, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 2 , 2 , 1 , 1 , 2 , 2 , 2 , 2 , 2 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 
         School Health, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   , 10 , 25 , 40 , 56 , 63 , 62 , 68 , 87 , 122 , 159 , 183 , 214 , 265 , 332 , 416 , 565 , 734 , 928 ," 1,050 "," 1,193 "," 1,367 "," 1,578 "," 1,748 "," 2,050 "," 2,394 "," 2,765 "," 3,249 "," 3,678 "," 4,072 "," 4,728 "," 5,118 "," 5,520 "," 5,301 "," 5,527 "," 6,076 "," 6,990 "," 8,055 "," 8,853 "," 9,185 "," 9,796 "," 10,696 "," 11,083 "," 12,165 "," 12,136 "," 12,512 "," 12,734 "," 13,536 "," 13,622 "," 14,434 "," 15,379 "," 15,425 "," 16,108 "," 17,106 "," 18,424 "
Total Nursing Care Facilities and Continuing Care Retirement Communities, 811 , 841 , 876 ," 1,009 "," 1,168 "," 1,408 "," 1,732 "," 2,234 "," 2,851 "," 3,411 "," 4,034 "," 4,551 "," 5,227 "," 5,974 "," 6,928 "," 8,022 "," 9,057 "," 10,259 "," 11,845 "," 13,344 "," 15,270 "," 17,336 "," 19,478 "," 21,676 "," 23,713 "," 26,199 "," 28,642 "," 30,646 "," 34,225 "," 38,553 "," 44,745 "," 49,212 "," 52,848 "," 55,797 "," 58,385 "," 64,185 "," 69,235 "," 74,088 "," 79,106 "," 80,605 "," 85,045 "," 90,778 "," 94,500 "," 100,098 "," 105,073 "," 111,414 "," 115,897 "," 124,894 "," 130,419 "," 135,175 "," 140,452 "," 145,331 "," 147,342 "," 148,572 "," 152,210 "," 156,233 "," 161,444 "," 163,380 "," 167,210 "," 172,655 "
     Out of pocket, 603 , 576 , 524 , 589 , 662 , 786 ," 1,041 "," 1,048 "," 1,467 "," 1,778 "," 1,984 "," 2,121 "," 2,475 "," 2,845 "," 2,865 "," 3,169 "," 3,706 "," 4,304 "," 4,899 "," 5,311 "," 6,185 "," 6,854 "," 8,084 "," 9,140 "," 9,813 "," 10,973 "," 11,881 "," 12,128 "," 13,925 "," 14,790 "," 17,936 "," 18,267 "," 18,393 "," 18,288 "," 17,544 "," 19,430 "," 19,143 "," 20,453 "," 24,706 "," 25,848 "," 26,881 "," 27,421 "," 27,745 "," 30,118 "," 31,045 "," 32,360 "," 33,359 "," 36,157 "," 37,153 "," 36,652 "," 37,097 "," 36,802 "," 38,772 "," 38,728 "," 39,100 "," 39,964 "," 42,708 "," 41,993 "," 43,827 "," 45,560 "
     Health Insurance, -   , -   , -   , -   , -   , 9 , 225 , 852 , 990 ," 1,038 "," 1,151 "," 1,582 "," 2,336 "," 2,647 "," 3,520 "," 4,243 "," 4,668 "," 5,213 "," 6,076 "," 7,052 "," 7,913 "," 9,139 "," 9,780 "," 10,653 "," 11,794 "," 12,785 "," 14,018 "," 15,555 "," 16,749 "," 19,774 "," 21,836 "," 25,526 "," 28,600 "," 31,272 "," 35,096 "," 38,071 "," 43,286 "," 46,191 "," 47,617 "," 47,856 "," 51,903 "," 57,450 "," 60,683 "," 63,396 "," 67,246 "," 71,606 "," 74,573 "," 79,064 "," 84,483 "," 89,309 "," 93,295 "," 98,586 "," 97,538 "," 98,673 "," 101,427 "," 104,793 "," 106,641 "," 108,409 "," 110,240 "," 112,976 "
          Private Health Insurance, -   , -   , -   , -   , -   , 1 , 2 , 3 , 5 , 7 , 9 , 12 , 16 , 23 , 28 , 37 , 52 , 72 , 100 , 132 , 187 , 252 , 363 , 503 , 662 , 911 ," 1,210 "," 1,524 "," 1,873 "," 2,113 "," 2,703 "," 2,884 "," 3,024 "," 3,121 "," 3,967 "," 5,323 "," 6,199 "," 6,512 "," 7,155 "," 7,406 "," 7,225 "," 7,487 "," 7,902 "," 7,212 "," 6,561 "," 6,949 "," 7,815 "," 8,594 "," 9,188 "," 9,751 "," 10,619 "," 10,880 "," 11,523 "," 11,451 "," 12,013 "," 13,263 "," 14,567 "," 15,453 "," 16,634 "," 18,000 "
          Medicare, -   , -   , -   , -   , -   , -   , -   , 190 , 244 , 216 , 143 , 121 , 120 , 165 , 200 , 220 , 260 , 267 , 268 , 283 , 307 , 337 , 367 , 392 , 423 , 455 , 460 , 501 , 734 ," 2,505 "," 1,703 "," 1,965 "," 2,892 "," 3,968 "," 5,610 "," 6,701 "," 9,497 "," 11,260 "," 11,441 "," 9,541 "," 10,910 "," 13,338 "," 15,026 "," 15,773 "," 18,260 "," 20,537 "," 22,378 "," 24,839 "," 27,606 "," 30,140 "," 32,289 "," 35,742 "," 33,885 "," 34,616 "," 35,497 "," 36,964 "," 37,010 "," 37,411 "," 37,638 "," 38,161 "
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   , 204 , 628 , 706 , 771 , 940 ," 1,367 "," 2,099 "," 2,338 "," 3,149 "," 3,810 "," 4,129 "," 4,646 "," 5,421 "," 6,327 "," 7,055 "," 8,138 "," 8,567 "," 9,204 "," 10,053 "," 10,695 "," 11,538 "," 12,656 "," 13,223 "," 14,229 "," 16,433 "," 19,563 "," 21,480 "," 22,838 "," 24,038 "," 24,516 "," 25,978 "," 26,803 "," 27,334 "," 29,129 "," 31,882 "," 34,572 "," 35,561 "," 37,872 "," 39,760 "," 41,341 "," 41,563 "," 42,341 "," 44,039 "," 45,511 "," 46,335 "," 47,650 "," 47,729 "," 48,105 "," 49,177 "," 49,570 "," 50,010 "," 50,176 "," 50,258 "," 50,778 "
                          Federal  , -   , -   , -   , -   , -   , -   , 98 , 304 , 366 , 425 , 505 , 779 ," 1,140 "," 1,226 "," 1,775 "," 2,094 "," 2,448 "," 2,619 "," 3,007 "," 3,587 "," 3,984 "," 4,558 "," 4,776 "," 5,110 "," 5,547 "," 5,882 "," 6,371 "," 6,985 "," 7,410 "," 8,008 "," 9,247 "," 10,866 "," 12,239 "," 13,121 "," 13,515 "," 13,683 "," 14,596 "," 14,917 "," 15,230 "," 16,396 "," 18,526 "," 21,234 "," 21,568 "," 22,203 "," 23,047 "," 23,353 "," 23,445 "," 23,898 "," 25,852 "," 30,336 "," 31,420 "," 28,996 "," 27,301 "," 27,506 "," 28,189 "," 28,517 "," 28,833 "," 29,018 "," 29,145 "," 29,849 "
                          State and Local, -   , -   , -   , -   , -   , -   , 105 , 324 , 340 , 346 , 436 , 588 , 959 ," 1,112 "," 1,374 "," 1,716 "," 1,681 "," 2,026 "," 2,414 "," 2,740 "," 3,071 "," 3,580 "," 3,791 "," 4,094 "," 4,507 "," 4,813 "," 5,167 "," 5,670 "," 5,813 "," 6,221 "," 7,186 "," 8,697 "," 9,241 "," 9,717 "," 10,522 "," 10,833 "," 11,382 "," 11,886 "," 12,104 "," 12,733 "," 13,357 "," 13,338 "," 13,994 "," 15,669 "," 16,713 "," 17,987 "," 18,117 "," 18,443 "," 18,187 "," 15,175 "," 14,915 "," 18,654 "," 20,428 "," 20,600 "," 20,988 "," 21,053 "," 21,177 "," 21,158 "," 21,113 "," 20,929 "
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , 14 , 9 , 5 , 5 , 3 , 4 , 4 , 5 , 2 , 5 , 4 , 5 , 7 , 8 , 11 , 9 , 10 , 12 , 13 , 16 , 24 
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , 10 , 7 , 4 , 4 , 2 , 3 , 3 , 3 , 2 , 3 , 3 , 4 , 5 , 5 , 7 , 6 , 7 , 12 , 13 , 15 , 22 
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 4 , 2 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 2 , 1 , 2 , 2 , 2 , 3 , 3 , 2 , 1 , 1 , 1 , 2 
         Department of Defense, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Department of Veterans Affairs, -   , -   , -   , -   , -   , 7 , 19 , 31 , 36 , 44 , 59 , 84 , 100 , 122 , 142 , 176 , 227 , 228 , 287 , 310 , 364 , 412 , 483 , 554 , 656 , 724 , 811 , 874 , 918 , 926 , 997 ," 1,114 "," 1,204 "," 1,346 "," 1,481 "," 1,531 "," 1,613 "," 1,616 "," 1,684 "," 1,766 "," 1,877 "," 2,048 "," 2,189 "," 2,536 "," 2,661 "," 2,775 "," 2,813 "," 3,288 "," 3,645 "," 3,903 "," 4,046 "," 4,307 "," 4,395 "," 4,491 "," 4,731 "," 4,985 "," 5,042 "," 5,357 "," 5,693 "," 6,013 "
     Other Third Party Payers and Programs, 207 , 264 , 351 , 420 , 506 , 613 , 467 , 334 , 394 , 596 , 899 , 848 , 417 , 483 , 544 , 610 , 684 , 741 , 870 , 981 ," 1,172 "," 1,343 "," 1,615 "," 1,883 "," 2,106 "," 2,441 "," 2,743 "," 2,964 "," 3,551 "," 3,990 "," 4,973 "," 5,418 "," 5,855 "," 6,237 "," 5,745 "," 6,685 "," 6,807 "," 7,445 "," 6,783 "," 6,901 "," 6,262 "," 5,907 "," 6,072 "," 6,585 "," 6,782 "," 7,448 "," 7,966 "," 9,673 "," 8,784 "," 9,214 "," 10,060 "," 9,943 "," 11,032 "," 11,170 "," 11,683 "," 11,477 "," 12,095 "," 12,978 "," 13,143 "," 14,119 "
         Worksite Health Care, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Private Revenues, 49 , 51 , 52 , 59 , 68 , 75 , 89 , 107 , 132 , 154 , 183 , 206 , 239 , 282 , 314 , 357 , 399 , 417 , 501 , 575 , 710 , 836 ," 1,049 "," 1,265 "," 1,453 "," 1,745 "," 1,927 "," 2,057 "," 2,531 "," 2,881 "," 3,744 "," 4,084 "," 4,404 "," 4,724 "," 4,109 "," 4,985 "," 5,088 "," 5,321 "," 4,997 "," 5,053 "," 4,671 "," 4,229 "," 4,215 "," 4,524 "," 4,558 "," 5,139 "," 5,393 "," 6,890 "," 6,024 "," 6,297 "," 6,873 "," 6,802 "," 7,751 "," 7,899 "," 8,398 "," 8,174 "," 8,845 "," 9,753 "," 9,857 "," 10,759 "
         Indian Health Services , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Workers' Compensation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         General Assistance, 4 , 4 , 4 , 3 , 4 , 4 , 6 , 12 , 12 , 16 , 17 , 17 , 19 , 19 , 20 , 10 , 11 , 14 , 14 , 15 , 22 , 20 , 20 , 24 , 21 , 22 , 25 , 29 , 35 , 48 , 67 , 60 , 66 , 78 , 114 , 99 , 109 , 114 , 139 , 143 , 148 , 155 , 148 , 193 , 261 , 310 , 363 , 433 , 335 , 338 , 344 , 257 , 379 , 395 , 427 , 418 , 359 , 318 , 334 , 359 
         Maternal/Child Health, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Vocational Rehabilitation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Federal Programs*, 67 , 100 , 151 , 190 , 198 , 215 , 160 , 89 , 91 , 176 , 339 , 283 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         SAMHSA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
